twiddling for
    throttle: 0.3
    start P: 0.13
    start I: 0
    start D: 0.5
with
    steps init: 100
    steps evaluate: 2000

twiddle 69 no improvement: P=0.170465; I=0; D=0.943473; error=1065.66; best_error=940.896
twiddle 70 no improvement: P=0.163411; I=0; D=0.943473; error=1049.39; best_error=940.896
twiddle 71 no improvement: P=0.166938; I=0; D=0.96824; error=1079.98; best_error=940.896
twiddle 72 no improvement: P=0.166938; I=0; D=0.918706; error=1066.46; best_error=940.896
twiddle 73 no improvement: P=0.170112; I=0; D=0.943473; error=1075.45; best_error=940.896
twiddle 74 no improvement: P=0.163764; I=0; D=0.943473; error=1048.85; best_error=940.896
twiddle 75 no improvement: P=0.166938; I=0; D=0.965763; error=1065.14; best_error=940.896
twiddle 76 no improvement: P=0.166938; I=0; D=0.921182; error=1045.16; best_error=940.896
twiddle 77 no improvement: P=0.169795; I=0; D=0.943473; error=1066.38; best_error=940.896
twiddle 78 no improvement: P=0.164081; I=0; D=0.943473; error=1056; best_error=940.896
twiddle 79 no improvement: P=0.166938; I=0; D=0.963534; error=1056.8; best_error=940.896
twiddle 80 no improvement: P=0.166938; I=0; D=0.923412; error=1045.04; best_error=940.896
twiddle 81 no improvement: P=0.169509; I=0; D=0.943473; error=1034.21; best_error=940.896
twiddle 82 no improvement: P=0.164367; I=0; D=0.943473; error=1055.32; best_error=940.896
twiddle 83 no improvement: P=0.166938; I=0; D=0.961528; error=1055.24; best_error=940.896
twiddle 84 no improvement: P=0.166938; I=0; D=0.925418; error=1053.92; best_error=940.896
twiddle 85 no improvement: P=0.169252; I=0; D=0.943473; error=1053; best_error=940.896
twiddle 86 no improvement: P=0.164624; I=0; D=0.943473; error=1072.8; best_error=940.896
twiddle 87 no improvement: P=0.166938; I=0; D=0.959722; error=1081.73; best_error=940.896
twiddle 88 no improvement: P=0.166938; I=0; D=0.927223; error=1066.07; best_error=940.896
twiddle 89 no improvement: P=0.169021; I=0; D=0.943473; error=1085.32; best_error=940.896
twiddle 90 no improvement: P=0.164856; I=0; D=0.943473; error=1097.22; best_error=940.896
twiddle 91 no improvement: P=0.166938; I=0; D=0.958097; error=1087.92; best_error=940.896
twiddle 92 no improvement: P=0.166938; I=0; D=0.928848; error=1104.79; best_error=940.896
twiddle 93 no improvement: P=0.168813; I=0; D=0.943473; error=1088.07; best_error=940.896
twiddle 94 no improvement: P=0.165064; I=0; D=0.943473; error=1137.24; best_error=940.896
twiddle 95 no improvement: P=0.166938; I=0; D=0.956635; error=1074.93; best_error=940.896
twiddle 96 no improvement: P=0.166938; I=0; D=0.930311; error=1089.33; best_error=940.896
